#
# Recomposed optical properties out of ARTDEC
#
# Used model for truncation was:
 dm
# number of wavelengths
           1
#      lambda         nBl   nangle   Trunc. Coeff.     sumF11    Cext        SSA              g  
     0.412000000E+00     48   1900     0.347192687E+00     0.200008798E+01     0.100000000E+01     0.900000000E+00     0.860000000E+00
# Phase matrix
# lambda =      0.4120
#         u                 F11                F22              F33               F44               F21               F34
    -0.963862190E+00     0.165219181E+00     0.166271541E+00    -0.824662162E-02    -0.106132398E-01     0.359470124E-01    -0.114452407E-01
    -0.963420160E+00     0.165156384E+00     0.168163628E+00    -0.652634493E-02    -0.108874025E-01     0.354555985E-01    -0.109594111E-01
    -0.962975480E+00     0.165277083E+00     0.170185330E+00    -0.469672873E-02    -0.109896288E-01     0.349335001E-01    -0.105243723E-01
    -0.962528170E+00     0.165580116E+00     0.172325593E+00    -0.276694567E-02    -0.109190554E-01     0.343820544E-01    -0.101425646E-01
    -0.962078230E+00     0.166063265E+00     0.174572914E+00    -0.746588258E-03    -0.106759025E-01     0.338026932E-01    -0.981609239E-02
    -0.961625650E+00     0.166723304E+00     0.176915374E+00     0.135435223E-02    -0.102614399E-01     0.331969444E-01    -0.954673213E-02
    -0.961170440E+00     0.167555973E+00     0.179340546E+00     0.352539870E-02    -0.967799916E-02     0.325664647E-01    -0.933594164E-02
    -0.960712600E+00     0.168556049E+00     0.181835709E+00     0.575577859E-02    -0.892893631E-02     0.319129929E-01    -0.918483234E-02
    -0.960252140E+00     0.169717339E+00     0.184387809E+00     0.803438631E-02    -0.801863059E-02     0.312383694E-01    -0.909417340E-02
    -0.959789040E+00     0.171032831E+00     0.186983752E+00     0.103500402E-01    -0.695237019E-02     0.305444696E-01    -0.906438226E-02
    -0.959323320E+00     0.172494550E+00     0.189610083E+00     0.126911943E-01    -0.573646109E-02     0.298332982E-01    -0.909553394E-02
    -0.958854970E+00     0.174093800E+00     0.192253443E+00     0.150463478E-01    -0.437803073E-02     0.291068767E-01    -0.918735412E-02
    -0.958383990E+00     0.175821110E+00     0.194900419E+00     0.174039066E-01    -0.288506865E-02     0.283672943E-01    -0.933922578E-02
    -0.957910400E+00     0.177666240E+00     0.197537557E+00     0.197521963E-01    -0.126642225E-02     0.276167161E-01    -0.955018238E-02
    -0.957434180E+00     0.179618475E+00     0.200151767E+00     0.220798233E-01     0.468464768E-03     0.268572781E-01    -0.981894010E-02
    -0.956955340E+00     0.181666424E+00     0.202729999E+00     0.243753882E-01     0.230938182E-02     0.260911889E-01    -0.101438781E-01
    -0.956473880E+00     0.183798243E+00     0.205259538E+00     0.266277456E-01     0.424555212E-02     0.253206569E-01    -0.105230652E-01
    -0.955989810E+00     0.186001628E+00     0.207727959E+00     0.288259704E-01     0.626562698E-02     0.245479123E-01    -0.109542586E-01
    -0.955503120E+00     0.188264017E+00     0.210123349E+00     0.309595532E-01     0.835788332E-02     0.237751499E-01    -0.114349438E-01
    -0.955013810E+00     0.190572541E+00     0.212434210E+00     0.330183180E-01     0.105101769E-01     0.230045674E-01    -0.119623248E-01
    -0.954521890E+00     0.192914090E+00     0.214649525E+00     0.349924857E-01     0.127100138E-01     0.222383552E-01    -0.125333367E-01
    -0.954027360E+00     0.195275492E+00     0.216758916E+00     0.368728116E-01     0.149447182E-01     0.214786555E-01    -0.131446848E-01
    -0.953530220E+00     0.197643542E+00     0.218752639E+00     0.386505917E-01     0.172014698E-01     0.207275689E-01    -0.137928547E-01
    -0.953030460E+00     0.200005127E+00     0.220621676E+00     0.403177418E-01     0.194674290E-01     0.199871299E-01    -0.144741460E-01
    -0.952528100E+00     0.202347119E+00     0.222357630E+00     0.418667113E-01     0.217296367E-01     0.192593574E-01    -0.151846391E-01
