# ARTDECO : output file
# Downward Radiances
#   
# Result given for each geometry
# sza : solar zenith angle(s) (degree)
# vza : view  zenith angle(s) (degree)
# vaa : view azimuthal angle(s) (degree)
# total number of geometries
         270
# nsza, nvza_dw, n
           1          90           3
# number of elements of the Stokes vector
# 4 = full polarization, 3 = 3x3 approximation, 1 = scalar
           3
# number of wavelengths
           1
##################
# Wavelength (microns) 
       0.412000000
# CPU time for RT in sec(s) 
     0.385241485E+01
#        sza               vza              vaa              theta              I_dw              Q_dw              U_dw                dI_dw            dQ_dw             dU_dw              Polar. (%)
      60.000000000     141.000000000     180.000000000     170.000000000       0.023612365      -0.017404091      -0.000000000       0.000000000       0.000000000       0.000000000      73.707529754
      60.000000000     142.000000000       0.000000000      69.000000000       0.039796209      -0.000773833       0.000000000       0.000000000       0.000000000       0.000000000       1.944488885
      60.000000000     142.000000000      90.000000000     108.340301333       0.026355972       0.012968173      -0.010518474       0.000000000       0.000000000       0.000000000      63.354364913
      60.000000000     142.000000000     180.000000000     171.000000000       0.023218867      -0.017351174      -0.000000000       0.000000000       0.000000000       0.000000000      74.728772704
      60.000000000     143.000000000       0.000000000      68.000000000       0.039101014      -0.001041554       0.000000000       0.000000000       0.000000000       0.000000000       2.663750724
      60.000000000     143.000000000      90.000000000     107.928549195       0.026105285       0.012859062      -0.010173668       0.000000000       0.000000000       0.000000000      62.810731595
      60.000000000     143.000000000     180.000000000     172.000000000       0.022850909      -0.017291659      -0.000000000       0.000000000       0.000000000       0.000000000      75.671646518
      60.000000000     144.000000000       0.000000000      67.000000000       0.038421479      -0.001311816       0.000000000       0.000000000       0.000000000       0.000000000       3.414278629
      60.000000000     144.000000000      90.000000000     107.512118518       0.025865631       0.012754944      -0.009835276       0.000000000       0.000000000       0.000000000      62.270117722
      60.000000000     144.000000000     180.000000000     173.000000000       0.022507668      -0.017225627      -0.000000000       0.000000000       0.000000000       0.000000000      76.532259522
      60.000000000     145.000000000       0.000000000      66.000000000       0.037757132      -0.001584400       0.000000000       0.000000000       0.000000000       0.000000000       4.196293550
      60.000000000     145.000000000      90.000000000     107.091146270       0.025636570       0.012655608      -0.009502974       0.000000000       0.000000000       0.000000000      61.733193765
      60.000000000     145.000000000     180.000000000     174.000000000       0.022188371      -0.017153161      -0.000000000       0.000000000       0.000000000       0.000000000      77.306988259
