#
# Optical properties to be used by ARTDECO
#
# Used model to obtain that properties is:
 mie3
# Used material is:
 lwat
# Number of phase matrix elements :
           4
# number of wavelengths
           4
#  wlambda(microns)   nteta   Cext (microns^2)       SSA              g 
     0.550000000E+00   2800     0.697526463E+02     0.999999795E+00     0.841898766E+00
     0.190493500E+01   2800     0.799866099E+02     0.968812977E+00     0.797054568E+00
     0.194193100E+01   2800     0.804542378E+02     0.959473806E+00     0.800221082E+00
     0.198039200E+01   2800     0.809846184E+02     0.969110234E+00     0.799412927E+00
# Phase matrix
# lambda =      0.5500
#         u                 F11              F44               F21               F34
    -0.980379368E+00     0.198179887E+00     0.587422709E-01     0.470617999E-01     0.379949908E-01
    -0.980157464E+00     0.197431618E+00     0.583689802E-01     0.466658360E-01     0.377692352E-01
    -0.979934324E+00     0.196696999E+00     0.580048200E-01     0.462707967E-01     0.375533097E-01
    -0.979709950E+00     0.195976292E+00     0.576499776E-01     0.458768051E-01     0.373470419E-01
    -0.979484341E+00     0.195269681E+00     0.573045150E-01     0.454840067E-01     0.371501843E-01
    -0.979257497E+00     0.194577264E+00     0.569683746E-01     0.450925639E-01     0.369624212E-01
    -0.979029420E+00     0.193899048E+00     0.566413883E-01     0.447026508E-01     0.367833769E-01
    -0.978800108E+00     0.193234952E+00     0.563232874E-01     0.443144478E-01     0.366126248E-01
    -0.978569563E+00     0.192584808E+00     0.560137152E-01     0.439281357E-01     0.364496972E-01
    -0.978337785E+00     0.191948360E+00     0.557122405E-01     0.435438905E-01     0.362940960E-01
    -0.978104774E+00     0.191325275E+00     0.554183727E-01     0.431618774E-01     0.361453046E-01
    -0.977870530E+00     0.190715148E+00     0.551315768E-01     0.427822458E-01     0.360027992E-01
    -0.977635054E+00     0.190117511E+00     0.548512898E-01     0.424051240E-01     0.358660615E-01
    -0.977398346E+00     0.189531845E+00     0.545769368E-01     0.420306147E-01     0.357345905E-01
    -0.977160407E+00     0.188957591E+00     0.543079459E-01     0.416587911E-01     0.356079144E-01
    -0.976921235E+00     0.188394163E+00     0.540437637E-01     0.412896940E-01     0.354856014E-01
    -0.976680833E+00     0.187840964E+00     0.537838690E-01     0.409233292E-01     0.353672703E-01
    -0.976439200E+00     0.187297399E+00     0.535277848E-01     0.405596663E-01     0.352525985E-01
    -0.976196336E+00     0.186762885E+00     0.532750895E-01     0.401986393E-01     0.351413300E-01
    -0.975952242E+00     0.186236872E+00     0.530254257E-01     0.398401474E-01     0.350332800E-01
    -0.975706918E+00     0.185718851E+00     0.527785066E-01     0.394840577E-01     0.349283381E-01
    -0.975460365E+00     0.185208365E+00     0.525341208E-01     0.391302091E-01     0.348264698E-01
    -0.975212582E+00     0.184705026E+00     0.522921344E-01     0.387784173E-01     0.347277140E-01
    -0.974963570E+00     0.184208513E+00     0.520524908E-01     0.384284809E-01     0.346321801E-01
