#
# ARTDECO : Beta_l
#
# Used model for truncation was:
 dm
# number of wavelengths
         184
# wlambda(microns)     nBetal     Trunc. Coeff.     Cext (microns^2)       SSA              g 
      1     0.214045389E+01     0.000000000E+00     0.000000000E+00     0.223078653E+01     0.000000000E+00     0.000000000E+00
      2     0.286232509E+01     0.400270932E+01     0.373654118E+01     0.276114670E+01    -0.126073252E-02    -0.223806100E-01
      3     0.226810660E+01     0.321153378E+01     0.324772093E+01     0.233950084E+01    -0.194145816E+00     0.164737137E-01
      4     0.173376075E+01     0.236058298E+01     0.226505523E+01     0.175501713E+01    -0.374823519E-01    -0.433012839E-01
      5     0.123795110E+01     0.143854043E+01     0.132509897E+01     0.117569610E+01    -0.237012963E+00     0.359184653E-01
      6     0.648488935E+00     0.995485575E+00     0.101906555E+01     0.702849540E+00    -0.208533847E-02    -0.270111876E-02
      7     0.563376400E+00     0.451393845E+00     0.341720501E+00     0.468225224E+00    -0.104439075E+00     0.329207794E-02
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2674
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999821E+00     0.000000000E+00     0.000000000E+00     0.889528144E+00     0.000000000E+00     0.000000000E+00
      1     0.218151810E+01     0.000000000E+00     0.000000000E+00     0.226135373E+01     0.000000000E+00     0.000000000E+00
      2     0.292148553E+01     0.403804206E+01     0.376884037E+01     0.281017027E+01     0.465981130E-02    -0.417231119E-02
      3     0.237171908E+01     0.331460026E+01     0.335041368E+01     0.245020634E+01    -0.182682028E+00     0.227665217E-01
      4     0.182797529E+01     0.247956343E+01     0.236896234E+01     0.185687675E+01    -0.253761120E-01    -0.112193047E-01
      5     0.117315805E+01     0.148660697E+01     0.136804829E+01     0.114433446E+01    -0.213307195E+00    -0.158285488E-01
      6     0.557149452E+00     0.890329488E+00     0.886446702E+00     0.635883356E+00     0.375576672E-01    -0.403514647E-01
      7     0.396340855E+00     0.359118822E+00     0.227420653E+00     0.332690586E+00    -0.542470573E-01    -0.230193713E-01
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2703
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999834E+00     0.000000000E+00     0.000000000E+00     0.892742807E+00     0.000000000E+00     0.000000000E+00
      1     0.224225941E+01     0.000000000E+00     0.000000000E+00     0.231420679E+01     0.000000000E+00     0.000000000E+00
      2     0.298978835E+01     0.409347010E+01     0.383666482E+01     0.288126377E+01     0.117753749E-02    -0.880294737E-02
      3     0.248396453E+01     0.343922333E+01     0.347321662E+01     0.256483600E+01    -0.183455298E+00     0.443614204E-02
      4     0.185551733E+01     0.256203511E+01     0.245342486E+01     0.189935976E+01    -0.364002208E-01    -0.335490034E-01
      5     0.122311523E+01     0.153650424E+01     0.139335130E+01     0.117304819E+01    -0.167989703E+00    -0.598366518E-02
      6     0.546046819E+00     0.886424281E+00     0.897175676E+00     0.632029604E+00     0.960067963E-01    -0.928270038E-02
      7     0.419046444E+00     0.376153558E+00     0.238886100E+00     0.344292120E+00     0.108346205E-01    -0.199367854E-02
      8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
# lambda =      0.2732
#     l     alpha1            alpha2            alpha3            alpha4             beta1            beta2
      0     0.999999837E+00     0.000000000E+00     0.000000000E+00     0.895703553E+00     0.000000000E+00     0.000000000E+00
